"STATION","NAME","DATE","DAPR","MDPR","PRCP","SNOW"
"US1TXGV0018","GALVESTON 6.4 NE, TX US","2023-01-08",,,"1.26",
"US1TXGV0018","GALVESTON 6.4 NE, TX US","2023-01-21",,,"0.24",
"US1TXGV0018","GALVESTON 6.4 NE, TX US","2023-01-22",,,"0.44",
"US1TXGV0018","GALVESTON 6.4 NE, TX US","2023-01-24",,,"0.03",
"US1TXGV0018","GALVESTON 6.4 NE, TX US","2023-01-25",,,"1.08",
"US1TXGV0018","GALVESTON 6.4 NE, TX US","2023-01-29",,,"0.35",
"US1TXGV0018","GALVESTON 6.4 NE, TX US","2023-01-30",,,"0.21",
"US1TXGV0018","GALVESTON 6.4 NE, TX US","2023-01-31",,,"0.05",
"US1TXGV0018","GALVESTON 6.4 NE, TX US","2023-02-01",,,"0.04",
"US1TXGV0018","GALVESTON 6.4 NE, TX US","2023-02-02",,,"0.56",
"US1TXGV0018","GALVESTON 6.4 NE, TX US","2023-02-03",,,"0.01",
"US1TXGV0018","GALVESTON 6.4 NE, TX US","2023-02-09",,,"0.56",
"US1TXGV0018","GALVESTON 6.4 NE, TX US","2023-02-15",,,"0.03",
"US1TXGV0018","GALVESTON 6.4 NE, TX US","2023-02-23",,,"0.05",
"US1TXGV0018","GALVESTON 6.4 NE, TX US","2023-03-17",,,"1.83","0.0"
"US1TXGV0018","GALVESTON 6.4 NE, TX US","2023-03-18",,,"0.24",
"US1TXGV0018","GALVESTON 6.4 NE, TX US","2023-03-19",,,"0.03",
"US1TXGV0018","GALVESTON 6.4 NE, TX US","2023-03-21",,,"0.00",
"US1TXGV0018","GALVESTON 6.4 NE, TX US","2023-03-25",,,"0.06",
"US1TXGV0018","GALVESTON 6.4 NE, TX US","2023-03-27",,,"0.02",
"US1TXGV0018","GALVESTON 6.4 NE, TX US","2023-03-28",,,"0.40",
"US1TXGV0018","GALVESTON 6.4 NE, TX US","2023-04-06",,,"0.08",
"US1TXGV0018","GALVESTON 6.4 NE, TX US","2023-04-07",,,"1.33",
"US1TXGV0018","GALVESTON 6.4 NE, TX US","2023-04-08",,,"0.67",
"US1TXGV0018","GALVESTON 6.4 NE, TX US","2023-04-16",,,"0.04",
"US1TXGV0018","GALVESTON 6.4 NE, TX US","2023-04-21",,,"3.18",
"US1TXGV0018","GALVESTON 6.4 NE, TX US","2023-04-24",,,"0.37","0.0"
"US1TXGV0018","GALVESTON 6.4 NE, TX US","2023-04-25",,,"0.05",
"US1TXGV0018","GALVESTON 6.4 NE, TX US","2023-04-27",,,"0.47",
"US1TXGV0018","GALVESTON 6.4 NE, TX US","2023-04-28",,,"0.29",
"US1TXGV0018","GALVESTON 6.4 NE, TX US","2023-04-29",,,"0.45",
"US1TXGV0018","GALVESTON 6.4 NE, TX US","2023-05-08",,,"0.03","0.0"
"US1TXGV0018","GALVESTON 6.4 NE, TX US","2023-05-10",,,"0.33",
"US1TXGV0018","GALVESTON 6.4 NE, TX US","2023-05-11",,,"1.40",
"US1TXGV0018","GALVESTON 6.4 NE, TX US","2023-05-14",,,"1.83",
"US1TXGV0018","GALVESTON 6.4 NE, TX US","2023-05-15",,,"1.80",
"US1TXGV0018","GALVESTON 6.4 NE, TX US","2023-06-04",,,"0.04",
"US1TXGV0018","GALVESTON 6.4 NE, TX US","2023-06-09",,,"0.89",
"US1TXGV0018","GALVESTON 6.4 NE, TX US","2023-06-11",,,"0.31",
